name_old;name_new
Спагетти-вермишель Makfa, 500г ;Спагетти Макфа
Макаронные изделия Makfa, «Перья Любительские», 450г;Макароны Макфа
Оливки Maestro de Oliva, без косточек, 300г;Оливки
Оливки GONZALEZ чёрные без косточек 425г;Маслины
Горошек Bonduelle, зеленый, 400г;Горошек
Кукуруза «6 соток», сахарная, в зернах, 400г;Кукуруза
Сок «Добрый» яблочный, 2 л.;Яблочный сок
Сок гранатовый Nar, 1 л;Гранатовый сок
Туалетная бумага белая Papia, 3 слоя, 4 рулона;Туалетная бумага
Масло «Золотая семечка», подсолнечное раф.-дез., 1л;Масло подсолнечное
Рис «Мистраль» Янтарь пропаренный длиннозерный, 900г;Рис
Кетчуп Heinz томатный, 1000г;Кетчуп
Шампунь для волос «Полное восстановление 5» Elseve L'Oreal Paris, 400 мл;Шампунь
Гель для стирки «Color Gel» Persil, 1.46 л;Гель для стирки
Чай Ahmad Tea Классический, черный, пакетики с ярлычками, 25х2г;Чай
